time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-04T02:18:53.313Z,-15.0935,-172.2832,10,4.8,mb,,72,1.273,1.19,us,us6000c5c2,2020-10-04T02:55:23.040Z,"131 km SSW of Lotofagā, Samoa",earthquake,8.6,1.9,0.139,16,reviewed,us,us
2020-10-04T02:51:33.795Z,29.865,130.6298,33.65,4.8,mb,,126,1.646,0.77,us,us6000c5c4,2020-10-04T03:09:15.040Z,"41 km SSE of Koshima, Japan",earthquake,7.7,6.2,0.075,55,reviewed,us,us
2020-10-04T03:35:23.787Z,-12.4267,166.4353,96.35,5.1,mww,,36,3.093,1.1,us,us6000c5cl,2020-10-09T21:37:53.073Z,"200 km SSE of Lata, Solomon Islands",earthquake,9.2,5.2,0.069,20,reviewed,us,us
2020-10-04T07:11:45.355Z,51.252,-179.268,42.09,4.8,mb,,140,0.907,0.97,us,us6000c5e0,2020-10-14T17:42:09.489Z,"195 km WSW of Adak, Alaska",earthquake,7,6.9,0.026,477,reviewed,us,us
2020-10-04T09:17:28.665Z,49.0695,155.2244,53.22,5.1,mww,,128,4.334,0.79,us,us6000c5ef,2020-10-14T07:18:07.040Z,"190 km SSW of Severo-Kuril’sk, Russia",earthquake,8.9,6.3,0.086,13,reviewed,us,us
2020-10-04T09:23:24.217Z,-17.6947,-178.757,565.52,4.6,mb,,78,3.041,0.78,us,us6000c5ej,2020-10-14T07:20:02.040Z,"208 km ENE of Levuka, Fiji",earthquake,11.9,8.2,0.069,63,reviewed,us,us
2020-10-04T09:35:48.542Z,-11.5993,166.4871,64.75,4.7,mb,,109,3.887,0.84,us,us6000c5eq,2020-10-14T07:23:09.040Z,"122 km SE of Lata, Solomon Islands",earthquake,9.7,6.1,0.118,22,reviewed,us,us
2020-10-04T13:24:31.207Z,-7.8051,128.6593,73.43,4.5,mb,,64,2.62,0.95,us,us6000c6t8,2020-10-13T16:00:45.040Z,"199 km ENE of Lospalos, Timor Leste",earthquake,7.2,7.4,0.205,7,reviewed,us,us
2020-10-04T17:13:14.922Z,27.6296,-111.1488,10,4.5,mb,,179,1.018,0.7,us,us6000c5hp,2020-10-05T16:00:04.735Z,"37 km SSW of San Carlos, Mexico",earthquake,5.4,2,0.54,1,reviewed,us,us
2020-10-04T17:36:57.902Z,-11.5647,166.3081,59.59,4.9,mb,,109,3.956,0.76,us,us6000c5hv,2020-10-04T19:59:15.040Z,"108 km SSE of Lata, Solomon Islands",earthquake,10.6,7.7,0.079,50,reviewed,us,us
2020-10-04T18:16:53.854Z,13.6078,120.7662,121.85,5.6,mww,,27,3.933,0.82,us,us6000c5i4,2020-10-16T23:45:26.818Z,"12 km WSW of Tingloy, Philippines",earthquake,7.7,3.9,0.038,67,reviewed,us,us
2020-10-04T19:12:15.265Z,10.9775,-61.5217,51.53,4.8,mb,,84,1.155,1.02,us,us6000c5ip,2020-10-06T15:50:08.718Z,"30 km N of Petit Valley, Trinidad and Tobago",earthquake,6.4,6.8,0.034,275,reviewed,us,us
2020-10-04T20:21:13.685Z,-5.982,-76.7276,35.01,4.7,mb,,139,4.355,0.56,us,us6000c5j3,2020-10-06T19:13:53.815Z,"27 km ENE of Moyobamba, Peru",earthquake,9.1,7.8,0.048,130,reviewed,us,us
2020-10-04T21:32:03.444Z,4.1988,-71.386,15.22,4.5,mb,,65,2.995,0.44,us,us6000c5jq,2020-10-05T05:01:13.040Z,"65 km S of Orocué, Colombia",earthquake,8.3,6,0.102,28,reviewed,us,us
2020-10-04T23:20:55.484Z,-20.017,-173.1692,10,4.9,mb,,46,3.197,1.16,us,us6000c5k6,2020-10-10T22:24:52.040Z,"126 km E of Pangai, Tonga",earthquake,8.5,1.7,0.03,359,reviewed,us,us
2020-10-05T00:34:35.272Z,-31.3889,-178.8668,62.57,4.7,mb,,86,2.285,0.7,us,us6000c71l,2020-10-10T05:29:35.040Z,"Kermadec Islands region",earthquake,10.6,6.9,0.133,17,reviewed,us,us
2020-10-05T01:10:13.027Z,-19.4348,-174.0621,10,4.9,mb,,80,3.922,1.18,us,us6000c5kq,2020-10-14T00:34:57.079Z,"52 km NE of Pangai, Tonga",earthquake,11.1,1.8,0.094,36,reviewed,us,us
2020-10-05T01:27:07.427Z,37.6282,-31.8175,10,4.9,mb,,112,1.812,0.76,us,us6000c5kz,2020-10-14T03:23:02.040Z,"202 km SSW of Lajes das Flores, Portugal",earthquake,9.3,1.9,0.087,42,reviewed,us,us
2020-10-05T02:32:24.532Z,36.3103,140.8244,83.69,4.9,mb,,112,2.122,0.76,us,us6000c5l1,2020-10-14T03:56:09.315Z,"21 km E of Ōarai, Japan",earthquake,7.5,6.6,0.076,54,reviewed,us,us
2020-10-05T03:07:47.054Z,-9.6053,119.3752,53.78,5,mww,,79,2.986,1.01,us,us6000c5l3,2020-10-14T04:02:14.040Z,"97 km W of Waingapu, Indonesia",earthquake,6.3,5.1,0.08,15,reviewed,us,us
2020-10-05T04:39:19.764Z,-41.2709,-91.585,10,4.5,mb,,150,14.445,0.87,us,us6000c5lj,2020-10-14T04:08:28.040Z,"southeast of Easter Island",earthquake,11.4,1.9,0.121,20,reviewed,us,us
2020-10-05T07:12:02.985Z,-21.8618,169.744,10,5.2,mww,,85,1.638,0.62,us,us6000c5m0,2020-10-05T13:44:26.040Z,"195 km E of Tadine, New Caledonia",earthquake,7,1.9,0.098,10,reviewed,us,us
2020-10-05T07:30:50.634Z,2.3354,124.7296,213.42,4.8,mb,,55,3.059,0.84,us,us6000c5m9,2020-10-05T07:53:36.040Z,"95 km N of Manado, Indonesia",earthquake,7.7,7.1,0.066,71,reviewed,us,us
2020-10-05T08:48:11.676Z,-54.5022,-132.9985,10,5.2,mb,,65,31.222,0.76,us,us6000c5ms,2020-10-05T09:06:51.040Z,"Pacific-Antarctic Ridge",earthquake,6.5,1.9,0.048,144,reviewed,us,us
2020-10-05T09:04:31.235Z,52.2107,158.8914,99.97,4.5,mb,,150,0.827,1.08,us,us6000c5mu,2020-10-05T10:07:47.040Z,"86 km SSE of Vilyuchinsk, Russia",earthquake,9.6,6.6,0.087,39,reviewed,us,us
2020-10-05T11:03:15.699Z,-21.8537,169.6045,10,4.7,mb,,97,1.51,0.93,us,us6000c5n9,2020-10-05T11:32:00.040Z,"southeast of the Loyalty Islands",earthquake,6.5,1.9,0.104,28,reviewed,us,us
2020-10-05T13:03:34.591Z,-15.6114,167.8046,121.01,5,mb,,55,0.602,0.66,us,us6000c5p7,2020-10-13T18:56:01.040Z,"66 km NE of Norsup, Vanuatu",earthquake,7,4.9,0.07,65,reviewed,us,us
2020-10-05T14:01:16.485Z,39.4952,141.9169,57.35,4.7,mb,,97,1.448,0.52,us,us6000c5pr,2020-10-13T19:42:15.040Z,"4 km NW of Yamada, Japan",earthquake,8.2,6.5,0.112,24,reviewed,us,us
2020-10-05T19:01:27.422Z,-62.2427,-58.249,10,5,mww,,48,0.193,1.28,us,us6000c5t4,2020-10-12T15:37:58.040Z,"South Shetland Islands",earthquake,4.6,1.8,0.098,10,reviewed,us,us
2020-10-05T19:04:00.506Z,19.8719,145.3366,131.04,5.3,mww,,51,4.625,0.86,us,us6000c5t3,2020-10-16T19:14:05.519Z,"Maug Islands region, Northern Mariana Islands",earthquake,8.9,4.3,0.061,26,reviewed,us,us
